_id,Kode Kecamatan,Kecamatan,Jumlah
1,347101,Tegalrejo,4
2,347102,Jetis,3
3,347103,Gondokusuman,5
4,347104,Danurejan,3
5,347105,Gedongtengen,2
6,347106,Ngampilan,2
7,347107,Wirobrajan,3
8,347108,Mantrijeron,3
9,347109,Kraton,3
10,347110,Gondomanan,2
11,347111,Pakualaman,2
12,347112,Mergangsan,3
13,347113,Umbulharjo,7
14,347114,Kotagede,3
